PROCESS,DESCRIPTION,Fields,Files 
rnlm,R - mode non linear mappingusing angular distances from the Pearsson correlation coefficient matrix.,,
rotorder,Converts rotation axes and angles to a specified rotation order.,,
screen,Formatted screen command for menu and macro interaction.,,
scrend,Clear the screen and erase the history of SCREEN commands.,,
scrfmt,Format text using format controls defined in the SCREEN command.,,
secdef,Create a section definition file.,,
selcop,Selectively copy named fields from a file to another file.,,
seldel,Selectively delete named fields from a file.,,
selexy,Selectively copy records for which X and Y coordinate values lie within a perimeter defined in a perimeter file.,,
selper,Select records which lie on or within a perimeter and copy them to an output file.,,
seltr2,Select data relative to a wireframe.,,
seltri,Select records lying inside/outside wireframe models or above/below triangulated surfaces.,,
selwf,Select data relative to a wireframe.,,
setenv,Update the environment file with new variables.,,
setval,Insert a user-defined value into a given field.,,
sgsim,Create a regular grid of conditionally-simulated points using sequential Gaussian simulation.,,
slimod,Put model onto a new prototype definition by splitting at new cell boundaries and recalculating IJK value.,,
sliper,Intersect a set of parallel perimeters by a set of orthogonal planes.,,
smuhis,Create a histogram using the shortcut evaluation method.,,
smumod,Shortcut method for estimating grade and tonnes above cut-off.,,
sortx,Sort any file into ascending (or optionally descending) order using multiple keyfields.,,
splat,Append each record of the 2nd file onto the corresponding record number of the 1st file.,,
splico,produce contour plot and string files of irregularly scattered data points wireframe or model.,,
split,Split an input file into multiple output files based on a single specified keyfield value.,,
st1gx,Calculate and report to the output text window general summary statistics for a single field.,,
statcom,Computes comparison summary statistics for validating model versus samples.,,
statnp,Calculate non-parametric summary statistics on numeric fields in a file.,,
stats,Perform statistical analysis on data tables.,,
subjoi,Write out all records and all fields from both input files where the specified keyfields match.,,
subwve,Write out matching records and matching fields where the specified keyfield(s) match.,,
sudttr,Load a SURPAC DTM (v1) into a wireframe surface file.,,
supes2,Output Surpac2 String File.,,
supes3,Write a Datamine perimeter file to a SURPAC2 string file.,,
supest,Output Surpac String File.,,
supoob,Output Surpac Point File.,,
suppcorr,Initiate a change of support model as part of Uniform Conditioning.,,
surcal,This process computes provisional and/or adjusted coordinates of surveys contained in an input file of reduced observations.,,
surfip,Interpolate a set of point data into a pair of surfaces expressed as sub-cells in a 3-D model.,,
surlog,Read a character format system file containing records of survey information.,,
surobs,Reduce survey angle and distance measurements.,,
surpoi,Interpolate upper/lower elevation values onto a file of 2D points.,,
surtac,Compute 3D coordinates of points located by angle and distance measurements from a survey statio.,,
surtri,Create DTM from string and/or point data.,,
survig,View and edit a database of surveyed point and string data.,,
survin,Convert data between formats for open pit mine planning.,,
survou,Convert data between formats for open pit mine planning.,,
sustp2,Input Surpac2 String File.,,
sustpe,Input Surpac String File.,,
swathplt,Create Swath plot data and Swath strings to compare grades in models and samples.,,
swathrot,Create Swath plot data to compare grades in a model and samples at any orientation.,,
syspar,Display application system parameters.,,
tabres,Produces reserve tabulations from a results file produced by other processes.,,
tblin,Enter data of definable format from a system file or the keyboard.,,
tdin,Create a Datamine model file from a Whittle THREE-D results file.,,
tdout,Output a Datamine model file in Whittle THREE-D format.,,
terplt,Generate a ternary (triangular) diagram plot.,,
tongrad,Calculate tonnes and grade reserves in a block model.,,
transco,Performs a geographic coordinate transformation,,
trend,Fits a polynomial trend surface to a set of data.,,
tricon,Generate contours from irregularly scattered data points or triangulated DTM.,,
trifil,Fill a single wireframe file with cells and sub-cells using an existing prototype file.,,
tripoi,Point (XY) intersection of elevation against a surface wireframe.,,
trival,Report the tonnes and grades of the blocks within a wireframe.,,
trivol,Report volume and other statistics of a wireframe model.,,
truethk,Calculate the true horizontal and vertical thickness for a set of samples.,,
unfold,Transform a set of XYZ data into an Unfolded Coordinate System [UCS].,,
unfold-wizard,Transform a set of XYZ data into an Unfolded Coordinate System [UCS].,,
unifcond,Use Uniform Conditioning to investigate recoverable reserves at alternative Selective Mining Unit sizes.,,
unlink,(Macros only) unlink a Datamine binary file from the current project.,,
valida,Validate fields against each other in a Datamine file.,,
varfit,Display experimental variograms as produced by the VGRAM process and fit a model.,,
ver,Displays the current Studio version and build number in the Command control bar.,,
vgm3dmap,Produce a block model representation of experimental variograms,,
vgram,Calculate variograms and/or cross variograms.,,
weave,Write out all records and matching fields where the specified keyfield(s) match.,,
wedgevol,Evaluate a wedge volume whose limits are defined by two or three DTMs or surfaces.,,
wfcode,Apply a code to point coordinates depending on whether the points are constrained by a wireframe.,,
wfexpnd,Expand (or contract) a wireframe by a fixed distance in all directions.,,
wftrend,Extend a wireframe along a planar trend beyond the data limits.,,
wirefill,Fill a single wireframe file with cells and sub-cells.,,
wirepe,Create strings defining the intersection of a wireframe model and planes.,,
xrun,Start execution of a macro or menu.,,
xvalid,Analyse parameters for grade estimation using the cross-validation method.,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
